new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status
1,refund,1001,Customer_1,Nigeria,Email,I requested a refund for my Cleanser but have not received it.,Cleanser,2,Customer Support,2025-10-30,resolved
2,packaging,1002,Customer_2,Ghana,Mobile App,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,1,Packaging Department,2025-04-23,resolved
3,product_quality,1003,Customer_3,Morocco,Phone Call,The Cleanser does not perform as advertised.,Cleanser,3,Quality Control Department,2025-04-21,resolved
4,packaging,1004,Customer_4,Algeria,Email,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,4,Packaging Department,2025-08-24,awaiting
5,packaging,1005,Customer_5,Algeria,Website,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,4,Packaging Department,2025-10-23,in_progress
6,refund,1006,Customer_6,,Phone Call,I requested a refund for my Cleanser but have not received it.,Cleanser,5,Customer Support,2025-02-21,resolved
7,delivery,1007,Customer_7,Tunisia,Website,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-12-26,awaiting
8,refund,1008,Customer_8,Kenya,Mobile App,I requested a refund for my Primer but have not received it.,Primer,2,Customer Support,2025-05-19,awaiting
9,refund,1009,Customer_9,Ghana,Email,I requested a refund for my Sunscreen but have not received it.,Sunscreen,4,Customer Support,2025-06-11,resolved
10,delivery,1010,Customer_10,Ghana,Mobile App,My Sunscreen order arrived much later than expected.,Sunscreen,4,Delivery Department,2025-07-22,awaiting
11,product_quality,1011,Customer_11,Tunisia,Mobile App,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-10-26,resolved
12,product_quality,1012,Customer_12,Nigeria,Phone Call,The Foundation does not perform as advertised.,Foundation,1,Quality Control Department,2025-11-18,in_progress
13,billing,1013,Customer_13,Kenya,Website,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-10-11,in_progress
14,refund,1014,Customer_14,Tunisia,Website,I requested a refund for my Lipstick but have not received it.,Lipstick,3,Customer Support,2025-02-27,resolved
15,product_quality,1015,Customer_15,Egypt,Phone Call,the blush does not perform as advertised.,Blush,4,Quality Control Department,2025-09-17,in_progress
16,customer_service,1016,Customer_16,Morocco,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,2,Customer Support,2025-10-04,awaiting
17,customer_service,1017,Customer_17,Algeria,Website,I contacted support about my Primer and never received a helpful response. please help!!!,Primer,5,Customer Support,2025-05-03,in_progress
18,delivery,1018,Customer_18,Nigeria,Phone Call,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-03-07,awaiting
19,product_quality,1019,Customer_19,Ghana,Phone Call,The Concealer does not perform as advertised.,Concealer,4,Quality Control Department,2026-01-01,resolved
20,product_quality,1020,Customer_20,Nigeria,Phone Call,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-04-26,in_progress
21,delivery,1021,Customer_21,Tunisia,Email,My Primer order arrived much later than expected.,Primer,1,Delivery Department,2025-04-28,in_progress
