new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status,complaints_description_length,cleaned_complaints
1,refund,1001,Customer_1,Nigeria,Email,I requested a refund for my Cleanser but have not received it.,Cleanser,2,Customer Support,2025-10-30,resolved,62,requested refund cleanser received
2,packaging,1002,Customer_2,Ghana,Mobile App,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,1,Packaging Department,2025-04-23,resolved,66,lipstick arrived damaged packaging disappointed
3,product_quality,1003,Customer_3,Morocco,Phone Call,The Cleanser does not perform as advertised.,Cleanser,3,Quality Control Department,2025-04-21,resolved,44,cleanser perform advertised
4,packaging,1004,Customer_4,Algeria,Email,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,4,Packaging Department,2025-08-24,awaiting,69,body lotion arrived damaged packaging disappointed
5,packaging,1005,Customer_5,Algeria,Website,the body lotion arrived with damaged packaging and i am disappointed.,Body Lotion,4,Packaging Department,2025-10-23,in_progress,69,body lotion arrived damaged packaging disappointed
6,refund,1006,Customer_6,,Phone Call,I requested a refund for my Cleanser but have not received it.,Cleanser,5,Customer Support,2025-02-21,resolved,62,requested refund cleanser received
7,delivery,1007,Customer_7,Tunisia,Website,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-12-26,awaiting,47,kohl order arrived much later expected
8,refund,1008,Customer_8,Kenya,Mobile App,I requested a refund for my Primer but have not received it.,Primer,2,Customer Support,2025-05-19,awaiting,60,requested refund primer received
9,refund,1009,Customer_9,Ghana,Email,I requested a refund for my Sunscreen but have not received it.,Sunscreen,4,Customer Support,2025-06-11,resolved,63,requested refund sunscreen received
10,delivery,1010,Customer_10,Ghana,Mobile App,My Sunscreen order arrived much later than expected.,Sunscreen,4,Delivery Department,2025-07-22,awaiting,52,sunscreen order arrived much later expected
11,product_quality,1011,Customer_11,Tunisia,Mobile App,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-10-26,resolved,44,eyeliner perform advertised
12,product_quality,1012,Customer_12,Nigeria,Phone Call,The Foundation does not perform as advertised.,Foundation,1,Quality Control Department,2025-11-18,in_progress,46,foundation perform advertised
13,billing,1013,Customer_13,Kenya,Website,I was charged twice for my Body Lotion purchase.,Body Lotion,3,Finance Department,2025-10-11,in_progress,48,charged twice body lotion purchase
14,refund,1014,Customer_14,Tunisia,Website,I requested a refund for my Lipstick but have not received it.,Lipstick,3,Customer Support,2025-02-27,resolved,62,requested refund lipstick received
15,product_quality,1015,Customer_15,Egypt,Phone Call,the blush does not perform as advertised.,Blush,4,Quality Control Department,2025-09-17,in_progress,41,blush perform advertised
16,customer_service,1016,Customer_16,Morocco,Phone Call,I contacted support about my Eyeliner and never received a helpful response.,Eyeliner,2,Customer Support,2025-10-04,awaiting,76,contacted support eyeliner never received helpful response
17,customer_service,1017,Customer_17,Algeria,Website,I contacted support about my Primer and never received a helpful response. please help!!!,Primer,5,Customer Support,2025-05-03,in_progress,89,contacted support primer never received helpful response please help
18,delivery,1018,Customer_18,Nigeria,Phone Call,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-03-07,awaiting,49,primer order arrived much later expected
19,product_quality,1019,Customer_19,Ghana,Phone Call,The Concealer does not perform as advertised.,Concealer,4,Quality Control Department,2026-01-01,resolved,45,concealer perform advertised
20,product_quality,1020,Customer_20,Nigeria,Phone Call,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-04-26,in_progress,40,kohl perform advertised
21,delivery,1021,Customer_21,Tunisia,Email,My Primer order arrived much later than expected.,Primer,1,Delivery Department,2025-04-28,in_progress,49,primer order arrived much later expected
22,customer_service,1022,Customer_22,Ghana,Phone Call,i contacted support about my eyeshadow and never received a helpful response.,Eyeshadow,4,Customer Support,2025-10-20,awaiting,77,contacted support eyeshadow never received helpful response
23,product_quality,1023,Customer_23,Kenya,Website,The Blush does not perform as advertised.,Blush,2,Quality Control Department,2025-08-05,resolved,41,blush perform advertised
24,product_quality,1024,Customer_24,Kenya,Website,The Cleanser does not perform as advertised.,Cleanser,2,Quality Control Department,2025-02-25,in_progress,44,cleanser perform advertised
25,delivery,1025,Customer_25,Ghana,Email,My Concealer order arrived much later than expected.,Concealer,3,Delivery Department,2025-08-15,awaiting,52,concealer order arrived much later expected
26,packaging,1026,Customer_26,Algeria,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,5,Packaging Department,2025-03-27,resolved,62,kohl arrived damaged packaging disappointed
27,product_quality,1027,Customer_27,Nigeria,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,2,Quality Control Department,2025-05-16,resolved,45,sunscreen perform advertised
28,delivery,1028,Customer_28,Ghana,Email,My Concealer order arrived much later than expected.,Concealer,2,Delivery Department,2025-10-24,awaiting,52,concealer order arrived much later expected
29,product_quality,1029,Customer_29,Algeria,Phone Call,the eyeshadow does not perform as advertised.,Eyeshadow,3,Quality Control Department,2025-01-30,awaiting,45,eyeshadow perform advertised
30,packaging,1030,Customer_30,Kenya,Email,the foundation arrived with damaged packaging and i am disappointed. please help!!!,Foundation,5,Packaging Department,2025-10-19,in_progress,83,foundation arrived damaged packaging disappointed please help
31,product_quality,1031,Customer_31,Egypt,Website,The Cleanser does not perform as advertised.,Cleanser,3,Quality Control Department,2025-05-14,in_progress,44,cleanser perform advertised
32,refund,1032,Customer_32,Morocco,Mobile App,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,4,Customer Support,2025-06-11,in_progress,63,requested refund eyeshadow received
33,packaging,1033,Customer_33,Ghana,Website,The Primer arrived with damaged packaging and I am disappointed.,Primer,1,Packaging Department,2025-03-09,resolved,64,primer arrived damaged packaging disappointed
34,customer_service,1034,Customer_34,Tunisia,Website,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,4,Customer Support,2025-11-10,awaiting,77,contacted support sunscreen never received helpful response
35,product_quality,1035,Customer_35,Ghana,Website,The Kohl does not perform as advertised.,Kohl,4,Quality Control Department,2025-03-01,in_progress,40,kohl perform advertised
36,billing,1036,Customer_36,Ghana,Website,I was charged twice for my Foundation purchase.,Foundation,4,Finance Department,2025-09-16,resolved,47,charged twice foundation purchase
37,delivery,1037,Customer_37,Nigeria,Website,my cleanser order arrived much later than expected.,Cleanser,3,Delivery Department,2025-03-08,awaiting,51,cleanser order arrived much later expected
38,customer_service,1038,Customer_38,Nigeria,Email,I contacted support about my Foundation and never received a helpful response.,Foundation,3,Customer Support,2025-02-08,awaiting,78,contacted support foundation never received helpful response
39,customer_service,1039,Customer_39,Kenya,Phone Call,i contacted support about my concealer and never received a helpful response.,Concealer,3,Customer Support,2025-01-22,resolved,77,contacted support concealer never received helpful response
40,product_quality,1040,Customer_40,Nigeria,Website,The Cleanser does not perform as advertised.,Cleanser,2,Quality Control Department,2025-10-14,resolved,44,cleanser perform advertised
41,customer_service,1041,Customer_41,Algeria,Phone Call,I contacted support about my Foundation and never received a helpful response.,Foundation,2,Customer Support,2025-07-31,in_progress,78,contacted support foundation never received helpful response
42,packaging,1042,Customer_42,Tunisia,Phone Call,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,4,Packaging Department,2025-05-17,in_progress,67,eyeshadow arrived damaged packaging disappointed
43,billing,1043,Customer_43,Ghana,Mobile App,I was charged twice for my Lipstick purchase. please help!!!,Lipstick,3,Finance Department,2025-06-29,resolved,60,charged twice lipstick purchase please help
44,customer_service,1044,Customer_44,Morocco,Email,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,3,Customer Support,2025-05-23,resolved,77,contacted support sunscreen never received helpful response
45,refund,1045,Customer_45,Nigeria,Email,I requested a refund for my Body Lotion but have not received it.,Body Lotion,3,Customer Support,2025-05-14,in_progress,65,requested refund body lotion received
46,product_quality,1046,Customer_46,Algeria,Website,the eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-08-12,awaiting,44,eyeliner perform advertised
47,customer_service,1047,Customer_47,Tunisia,Mobile App,I contacted support about my Lipstick and never received a helpful response.,Lipstick,2,Customer Support,2025-01-01,awaiting,76,contacted support lipstick never received helpful response
48,customer_service,1048,Customer_48,Ghana,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,4,Customer Support,2025-08-09,in_progress,77,contacted support concealer never received helpful response
49,customer_service,1049,Customer_49,Morocco,Website,I contacted support about my Eyeshadow and never received a helpful response.,Eyeshadow,2,Customer Support,2025-12-08,resolved,77,contacted support eyeshadow never received helpful response
